Comprensión de Textos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION;;;;;;
;;;;;;;;C1;C1;C2;C1;C2;C2;C1;C3;C3;C2;C2;C2;C3;C2;C3;;;;;;;C1;C2;C3;;C1;C2;C3;;;;;;;;
2;1;"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""";1ro;3;3;101;100;93;68;89;94;32;69;66;81;54;96;0;0;0;0;0;0;0;0;0;0;;3;2;1;2;92%;60%;60%;60%;15;;;;;;
3;1;"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA";1ro;3;3;135;135;84;52;44;84;39;28;31;41;55;24;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;50%;24%;42%;43%;7;;;;;;
4;1;"I.E. Nº 5125 ""CASUARINAS""";1ro;4;4;135;128;99;63;70;95;50;33;73;37;79;103;0;0;0;0;0;0;0;0;0;0;;2;1;1;2;70%;32%;60%;60%;11;;;;;;
5;1;"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """;1ro;5;5;110;125;99;63;79;105;52;39;63;33;58;95;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;74%;31%;49%;49%;8;;;;;;
6;1;"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""";1ro;4;4;124;108;88;60;76;95;47;53;63;29;59;96;0;0;0;0;0;0;0;0;0;0;;2;1;1;2;80%;40%;57%;57%;12;;;;;;
7;1;"I.E. Nº 5130- ""PACHACÚTEC""";1ro;5;5;151;141;124;98;93;100;67;69;77;35;96;89;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;75%;40%;62%;62%;12;;;;;;
8;1;I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ;1ro;2;2;64;90;23;10;19;19;29;6;8;30;45;17;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;23%;24%;30%;30%;5;;;;;;
9;1;I.E. 5141;1ro;3;3;68;121;88;55;58;90;61;46;48;39;36;73;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;67%;43%;36%;36%;10;;;;;;
10;1;I.E. Nº  5147;1ro;2;2;47;42;37;32;19;25;3;8;13;2;22;33;0;0;0;0;0;0;0;0;0;0;;2;0;1;2;64%;10%;42%;42%;9;;;;;;
11;1;IE Nº 5148 - LAS BRISAS DE PACHACÚTEC;1ro;1;1;28;28;22;16;19;27;20;10;18;14;21;22;0;0;0;0;0;0;0;0;0;0;;2;2;1;1;81%;52%;70%;70%;14;;;;;;
